,rapper,verse,num_misogyny,misogyny_label
141,NF,"I look at you now Yeah what I used to see Is breaking me down Why ain't you like you used to be? Still beautiful as ever, yet I feel no unity Usually, I just feel like you're using me You're telling me you love me, yeah, from the lips of your mouth But honestly, honesty isn't what I think's coming out Seems the people you love the most, push you down, let you go That's why I'm here to let you know, we lie to people just for show You pretend you care, but really it don't bother you Wonder if it will when I decide to say goodbye to you I'm trying to fix it, what you think I'm trying to do? You don't like my attitude, then wonder why I'm mad at you I've had enough of it My heart, you ain't touching it You say you're in love with it But really, you're crushing it I don't hate you, I'm just trying to understand how you feel There ain't no point of continuing this if it ain't even real ",FALSE,Nonmisogynistic
19,Action Bronson,"Uh, know I hit you with that hot shit Straight up off the block, roll up pot shit Niggas just don't wanna go to school Act like they are, but they not sick Money all up in my pocket, putting diamonds in everything See me out I look rich as fuck, clothes smelling like Mary Jane Ride coastal been on every plane Say these guys close, but these guys loco When they see me they non-vocal High as fuck I need bifocals Kush got me moving slo-mo Steak and eggs in my dojo It's some Gs in there Need some weed? I'm there All these cars I own, ain't no keys in there Tapping young niggas out, rolling weed out an ounce Now I got a bigger crib Repping what I live about My hair long, my weed strong, so they staring My weed strong, my money long, I ain't caring ",FALSE,Nonmisogynistic
164,Joey Bada,"Yeah Joey that cat killin', villain I capture the cat in the trap, a door she sealing From sicilians to Miss Millins, to miss missin' That cat killin', villain I capture the cat in the trap, a door she sealing From sicilians to Miss Millins, to miss missin'  (x4) I keep it lit till I'm burnt out Could tell a chick bye look at how she turned out",FALSE,Nonmisogynistic
25,A$AP Ant,Got some racks on me right now bih let's go Got some lean on me right now bih let's go Got some Prada on me right now bih let's go Got some pounds on me right now bih let's go Bih let's go Bih let's go Got some racks on me right now bih let's go Got some Louis on me right now bih let's go Got some pounds on me right now bih let's go ,FALSE,Misogynistic
81,A$AP Rocky,"Fuck them other niggas 'cause I'm down for my niggas Fuck them other niggas 'cause I'm down for my niggas Fuck them other niggas, I'll ride for my niggas Iâll die for my niggas, man, fuck them other niggas! ",FALSE,Nonmisogynistic
193,Eazy-E,"It's like pay me stories in a cold cruel world I'ma share story 'bout a gangster girl From the plane to the train Fall of from a groupie, a down bitch Put a key up in her coochie And she only fucking with ballers, living the live So fine but never thought she be smoking the pipe And when her boyfriend is away, she doing her damn thing Coming up show nigga misses some cocaine But It ain't a shame anyway So you know, we yo, getting guns Put on a nigga cuz of a ho Yeah the bitch gots to go Step to the house, looked to the shower The Bitch looking like a Tina Howard Make sure the ghost was clear Cock the gat, shit is certain Went to the door put 5 in her cunt and That's the way love goes when you fucking with scandalous hoes Semi-automatic my folks peep the scenario",TRUE,Misogynistic
72,Drake,"I think I killed e'rybody In the game last year, man, fuck it, I was on though And I thought I found the girl of my dreams At a strip club, mmm-mmm, fuck it, I was wrong though Shout out to all my niggas living tax free Nowadays it's six figures when they tax me Oh well, I guess you lose some and win some Long as the outcome is income You know I want it all and then some Shout out to Asian girls, let the lights dim some Shots came, I don't know where they was sent from Probably some bad hoes I'm 'bout to take the hint from Yeah, you know me well, nigga I mean you ain't the only real nigga They got me on these white women like Seal, nigga Slave to the pussy but I'm just playing the field, nigga Are these people really discussing my career again? Asking if I'll be going platinum in a year again? Don't I got the shit the world wanna hear again? Don't Michael Jordan still got his hoop earring in? Man all of your flows bore me: paint drying And I don't ever be trippin off of what ain't mine And I be hearing the shit you say through the grapevine But jealousy is just love and hate at the same time Yeah, it's been that way from the beginning I just been playing, I ain't even notice I was winning ",FALSE,Misogynistic
132,Talib Kweli,"Yeah, yeah, yeah, yeah We got the planet to rock, Kweli's standing on top I'm like a panther when I answer to cops And bust back before the man get a shot And the blood on their veins run cold like the cannibal lox And bring heat like the blood of the mammal that's hot And keep fighting like the boy with the mechanical heart And watch time count down on the hands of the clock Till the hour when the pinnacle start Wow, and go fast like the bullet that ran through the dark The hollow tip ripped a man apart, blaow Yo these soldiers die in petroleum wars Think they fighting for the holliest cause It don't matter if you Muslim, Hebrew, or you a Christian Information is the newest religion, is a true way of living Ain't no rule to a surpestition stop me with going through with my mission Come on man ",FALSE,Nonmisogynistic
21,A$AP Rocky,"It started in Hollywood Dreamin' of sharin' love My tongue at a loss for words Cause my feelings just said it all Party just started up Dreamin' of sharin' worlds Held this feeling for way too long Said, ""I really wanna let it go"" ",FALSE,Nonmisogynistic
39,Chance The Rapper,"I don't even talk to them on the phone again Leave in the AM, on the road again So bitch, let's fuck so I can smoke again I gotta smoke again, I got shit to do I don't even talk to them on the phone again Leave in the AM, on the road again So bitch, let's fuck so I can smoke again I gotta smoke again, I got shit to do I don't even talk to them on the phone again Leave in the AM, on the road again So bitch, let's fuck so I can smoke again I gotta smoke again, I got shit to do I don't even talk to them on the phone again Leave in the AM, on the road again So bitch, let's fuck so I can smoke again I gotta smoke again, I got shit to do ",TRUE,Misogynistic
202,Kendrick Lamar,"(What did the Indian say?) ""A piece of land"" That's what the Indian saidâI needed the man Telling me longevity is in the dirt Should buy some property first Should profit a better dollar with generational perks Equity at his best, really, you should invest These tangible things expire, don't you expect Income with so much outcome and yes Look at my heritage, we blessed (Now, what the black man say?) ""A piece of pussy"" That's what the black man said I needed to push me To the limit, to satisfy my hunger We do it all for a woman from haircut to a war We like to live in the jungle, like to play in the peach What you saying to me? He said ""nigga, come back to reality for a week"" Pussy is power, fuck on a new bitch every night I wouldn't be prouder, you should allow it ",TRUE,Misogynistic
91,Jay-z,"High on life I could die from the fall, imagine if I hit the floor Apologies in order to Blue Ivy my daughter If it was up to me, you would be with me, sort of like daddy dearest ",FALSE,Misogynistic
14,Lupe Fiasco,"I see diamond-flooded demons Lamborghini angels Lamborghini angels Lamborghini angels Halos down with the doors flapping when they came through Halos down with the doors flapping when they came through Give me that old school love right now You know when I hold you, you wonât be alone As long as I'm here, as long as you love me Give me that old school love right now As long as I'm here, as long as you love me Give me that old school love right now ",FALSE,Nonmisogynistic
57,Bas,"Pastor Black Lip join my diocese Warn the people sleeping on the legion I'm a Dreamvillain talking major keys Think DJ Khaled playing Mavis Beacon Soulo found the loud and lit it back woods Back to back, it's like I'm mad at Meek Burning brain cells with my nigga that just made bail like last week Still ducking strays in the plies like submissive bitches With my dogs at the top and we in heat, fuck all ya'll 'til I'm in the box Six feet underneath the gravel, casket made of 47 karat gold Hear the trumpets blow, Jesus banging the gavel Soul",TRUE,Misogynistic
70,A$AP Rocky,"All these boppers wanna bop 'em, niggas wanna jock 'em Not a red light or a city cop that can stop 'em Going broke is not an option, always on that cash flow She used to call me asshole, now she drop that ass low Fuck it man I'm past dope, sour diesel slash coke A$AP we the last hope, fuck it this my fast flow I slow it down I pick it up, blue jeans I rip 'em up That's swag bitch, you mad bitch, see you in my past bitch I'm headed to the future, Twelvyy ain't no loser Mixing up that syrup, call it Punky Brewster I'm slurring wussup, don't tell me to shut up I ain't tryna start shit, but man I'm really fucked up I lucked up, I see it as a come up I'm on my job man, I see you when the sun's up Huh, young niggas run everything A$AP to the top and these bitches love everything ",TRUE,Misogynistic
98,Logic,"Maybe you're the reason, you're the reason The reason I don't fuck with nobody, and Maybe you're the reason, you're the reason The reason I came up with nobody, and Maybe you're the reason, you're the reason Everybody think this right here happened ",FALSE,Nonmisogynistic
25,Isaiah Rashad,"Sweet line I used to walk, we used to want Just wanna be, like one of them But now I don't, I ran away I ran away, I ran away I know that bitches gon' be with it but I love them hoes Just call before 'fore you come, just call before you go Bitches gon' be bitches but I love them hoes Just call it before you come, just call before you go Bitches gon' be bitches but I love them hoes Just call before you, just call before you come Bitches gon' be bitches but I love them hoes Just call before you, just call before you Yeah call before you come, bitch! ",TRUE,Misogynistic
105,Eminem,"First thing you say: I'm not fazed I hang around big stars all day I don't see what the big deal is anyway You're just plain old Marshall to me Ooh yeah, girl, run that game Hailie Jade, I love that name Love that tattoo, what's that say? ""Rot In Pieces,"" uh, that's great First off, you don't know Marshall At all, so don't grow partial That's ammo for my arsenal I'll slap you off that bar stool There goes another lawsuit Leave handprints all across you Good Lordy, whoadie You must be gone off that water bottle You want what you can't have Ooh girl, that's too damn bad Don't touch what you can't grab End up with two backhands Put anthrax on a Tampax And slap you 'til you can't stand Girl, you just blew your chance Don't mean to ruin your plans ",FALSE,Misogynistic
23,Scarface,"But you can never be my main boo, we can remain cool But we can't be seen and for this I can blame you Because you got more miles than a F-350 You been ran through and I know for a fact you got history But since we met, I've been hearin' your name in certain circles Pussy got a snap like a turtle And you can catch a nigga on the late night Comin' out the club, half drunk off Remy and Sprite And make a man out of him quick 'cause of how you handle the dick It's unlike no other, she a bad motherfucker But I'm too strong to let a hoe undercover Make me look fucked up 'cause unlike those others I done met a lot of freaky girls in my lifespan So you can't get mad 'cause I am not your man Your understandin' was bad, it was not my plan For you to fall in love with me, girl it's not like that",FALSE,Misogynistic
41,Joey Bada,"Check my style Check, check, check it out Check, check it out ",FALSE,Nonmisogynistic
111,Childish Gambino,"Weathering a righteous storm, the rainiest of days Friends stick together through thick and thin, always We're sorry Pops, we were acting like fools We hope you can forgive us for being complete tools Your poems aren't lame, they're really works of art If we're gonna win this battle, we gotta do it from the heart ",FALSE,Nonmisogynistic
183,Eazy-E,"Well nigga pop the 9 and let it holla Test drive wit a neighbourhood's scholar Black Impala, blue chucks on gettin outta Sucks on hip hop thugsta get the fuck on Niggas looking shifty, do they wanna diss me, lick me Show me love or peel my cap quickly My six sense won't let me slip don't puff wit the draggin' em I'm still toe taggin' em, hit the spot wit a don still baggin' em It's the low call, S.A.B on the vocal, blast my way out Eazy pay The way, all you bitch niggas stay out",TRUE,Misogynistic
148,Logic,"My bitch bad got a sick figure Play 1 show and get 6 figures We build bigger, money tall as a mountain, bitch I've got Hilfigers, like goddamn Yes sir, I know who I am I'm that main man Martin, out here kicking out Pam Just riding 'round with my Gina in that all-black Beamer All the way from Maryland whipping out West Covina Hold up, now check my demeanor Yeah, your girl bad, my girl meaner I've upgraded",TRUE,Misogynistic
13,A$AP Rocky,"Riding through your city like that motherfucka mine Or choking on that semi, rob a motherfucka blind License plate says wipe me down, car from 1989 But a nigga sits so pretty call that motherfucker fine Lost your motherfucking mind, what's on your mind niggas talking down Never talk to cops, make him talk to God when I tote that 9, he ain't talking now Tell 'em watch your spine, I mean watch your back Better guide your track, better not look back Now stay in line, don't step on cracks So you break her back I'm talking 'bout your mom Cause there's killers in my town, making hits, sniffing lines Out committing crimes, wait for shit to simmer down Corrupted little minds, 8 and 9, finna shine On the grind, do you dirty with that shimmy shimmy ya Where they shoot without a purpose, services 'n hearses Kids who ain't deserve it, can't survive a thing, you're worthless Strangers make me nervous, who's that peekin' in my window with a pistol to my curtains?",FALSE,Nonmisogynistic
65,Drake,"Just throw up while I hold your hair back Her white friend said ""You niggas crazy"" I hope no one heard that I hope no one heard that âCause if they did, we gonna be in some trouble We gonna be in some trouble, trouble I wanna know who mothafuckin' representin' in here tonight Hold on, hold on ",FALSE,Nonmisogynistic
43,Lil Wayne,"See you had a lot of crooks trying to steal your heart Never really had luck, couldnât never figure out How to love, how to love You had a lot of moments that didnât last forever Now you in a corner tryning put it together How to love, how to love For a second you were here, now you over there It's hard not to stare the way you're moving your body Like you never had a love, never had a love ",FALSE,Nonmisogynistic
58,Bas,"Soulo hold up let me get it back Had to run the borough, bring the city back Got the power in my head, yeah, yeah Been a year since I fit in fitted caps Go and tell them niggas that Bas brought the East back, eat that Niggas play my album and repeat that Niggas play your album, hear them weak raps And delete that, that's soft shit Need some wheatgrass Better boss up, awh fuck Got your bitch starstruck, all fuss Got five figures in my offers My how the times have changed I might leave tour and go buy the Range I see the snakes, I see the fakes I see 'em straight through designer frames I just got crib out in L.A I get my pick at the thots, but she can not stay If she had her way she'd be picking the locks Got a shower big enough to dance in With your favorite singer and the dancers In the party, in the back booming Rep the city like I'm Pat Ewing Fiends high as bald eagles And my product all legal Word to Soulo my nigga I got the loud and it's lit ",TRUE,Misogynistic
104,Joey Bada,"The Badmon, young kingpin I move dope with that ink pen Been up all nightâmy third eye ain't even blinkin' Fuck what you thinkin' Number 99, never trust no swine Lick a shot one time Yo yo Badmon representin' Yo yo",FALSE,Nonmisogynistic
38,Scarface,"Aiyo Bido, drop that shit Yeah, heh heh Back in the South Park, six o'clock on the dot Checkin on my old rock spot I seen the same old set Heh, the small timers see me so they jet Buildin' 128 I got myself a bag and I can't wait To cut em up small to make a profit Niggas on the cut short stop it Fiends'll see em small then they go Where, to see the motherfuckin' pro One nigga got pissed And started reachin' for his shit .357 on your ass, fool Like I said before, you don't get a second chance dude Unloaded on his ass, he was hurt Six shots put his dick in the dirt Laid him out like a motherfuckin' rug Gettin' pumped full of .38 slugs Some other niggas stepped out y'all Aw shit, I had to make a phone call",FALSE,Nonmisogynistic
56,Lil Wayne,Shawty want a thug Bottles in the club Shawty wanna hump You know I like to touch Your lovely lady lumps ,FALSE,Misogynistic
32,Childish Gambino,"(Who am I?) Rec League, I ain't paying to ball Y'all B-string like a broke guitar And I still put it down like the family dog Yeah, I murder some, murder one Explain it all, Ferguson We ain't gotta sing the same old love song Cut a white girl with the same black gloves on Yeah, what you saying to it? Old money look, no money don't do it Make 'em turn around in their lane like a U-ie And I'm only looking back if I'm looking at her booty (At her booty) What's the rationale? They wanna smoke niggas when they black & mild So we acting outâokay, cool ",FALSE,Misogynistic
31,Immortal Technique,"""Oigan ustedes ahi! Ustedes trabajando! Sigan trabajando carajo!"" ""Oye Luis, Â¿CuÃ¡ndo van a terminar?"" ""Ahorita."" ""Bueno que se apuren los burros. Ahorita viene el camiÃ³n, apÃºra, diles!"" ""Ahorita van a venir para recoger los productos, apÃºrate!"" I'm on the border of Bolivia, working for pennies Treated like a slave, the coca fields have to be ready The spirit of my people is starving, broken and sweaty Dreaming about revolution (""Â¡Revolucion!"") looking at my machete But the workload is too heavy to rise up in arms And if I ran away, I know they'd probably murder my moms So I pray to JesÃº Cristo when I go to the mission Process the cocaine paste, and play my position ",FALSE,Nonmisogynistic
72,Eminem,"Guts over fear, the time is near Guts over fear, I shed a tear For all the times I let you push me 'round I let you keep me down Now I got guts over fear, guts over fear Yeah, it's my life In my own words, I guess ",FALSE,Nonmisogynistic
42,NF,"Yeah, oh, yeah, oh lost Oh, yeah, oh, no no This may be the last sunset I'll see So I'll take it in, I'll take it in This may be the last air that I'll breathe So I'll breathe it in, I'll breathe it in Too many faces, too many faces, too many faces ",FALSE,Nonmisogynistic
54,Royce Da 59,"Teacher, Teacher I donât understand what you even wanna talk for Unless an interpreterâs gon' come up there and talk for me Because we donât speak the same language, you say shit like âtake up a trade and your thoughts bore meâ You donât teach me nothing, you just talk towards me Iâm gon' need your assessment and fast Look around you, do I look anything like the rest of your class? Canât you see that Iâm special? I donât act like these fucking crumb snatchers I donât even breathe like âem I was born with my lungs collapsing I walked right up to the drug dealer in my class and asked him âHow did you get such a bad bitch?â He said âit was hard and the best ones are the hardest to getâ And I went on to see the world, and he went on and started the trick And now when I see his girl, she be on my dick ",TRUE,Misogynistic
66,Scarface,"Hey I'm they fave They say pressure busts pipes, but I ain't scared It's my pleasure to tell it right, don't think I ain't said Cause they got prices on my head homie, I don't slip Clips long as giraffe necks, that's why I don't trip Just open up and let it rip, ain't nothing new to a G Hey I ain't worried about these niggas till they shooting at me My partner died, daughter too, give excuses to me Still a buster ass rapper I'm refusing to be Scarface seem to say I'm the king, you a fool if you think There's another young new rapper dude out there cooler than me (Haha) I cruise in the V, brand new with the beat I live a real life like I say I do in the beat Yo, true indeed, I do indeed Do it for the OG's and the true MC's Them busters say this year I got brand new and it's all phat Cut that fighting in the club, I'm done with all that Nigga ass out of line, well his ass getting wet Give a west side nigga ten stacks, that's that Oh, or maybe less as a matter of fact Nigga be testing the professor, what's the matter with cats? ",FALSE,Nonmisogynistic
131,Lupe Fiasco,"Got my gold watch and my gold chain With my fancy car and my diamond ring With my ghetto broad and she's so plain Got a couple scars and one of those long names She-a fight a nigga and cusses with no shame And her ex-man had her baggin' up cocaine but she Yeah, yeah, she love it over here, it's just Yeah, yeah, she love it over here, it's just Yeah, yeah, she love it over here, it's just Yeah, yeah, she love it over here, and it's From the floating death, to the fire of death To a flower outside my grave An old man Or were you just being polite with your hands? ",FALSE,Nonmisogynistic
46,Eazy-E,I don't give a fuck I'm getting Christmas cot Ho ho ho and away I go ,FALSE,Nonmisogynistic
138,Jay-z,"Pardon my hubris, Stanley Kubrick With eyes wide shut, I could cook up two bricks Turn nickels to dime, turn dimes to quarters Turn wives from daughters, oh, I'm clear as water And just for clarity, my presence is charity My flow is a gift, philanthropist Everybody 'round me rich, or will be Baby boy I promise you this, or kill me And when a nigga go as the old adage go You die rich and you die disgraced, so just let me grow Watch me cook, throw no looks Like Magic in his prime when Kareem sky hooked, yeah Y'all not worthy, sometimes I feel like Y'all don't deserve me, my flow unearthly The greatest form of giving is anonymous to anonymous So here y'all go, I promise this ",FALSE,Nonmisogynistic
74,Montana of 300,"Let her know I'm in the city for the weekend Hit the show do the most then we leavin' Act up and my niggas get to tweakin' ay Cut the roof off the coupe like The Weeknd ay Bad hoes keep our music on repeat Fly Guys No Surrender No Re-treat Only high tec, no weak drink Xannin' hard I done fell into a deep sleep Off the Xans and I'm not sleepin' What in the world was I thinkin'? Big bank on you lil' bank ass niggas I'm a shark all you fish tank ass niggas They treat me and my amigos like the Fuckin' black beatles I'm the one goin' dumb with Them drums call me Ringo No casino blow me like some candles on ya birthday Gold hangin' on my neck so she know I'm first place, MOB ",FALSE,Misogynistic
15,Common,"How beautiful love can be On the streets love is hard to see It's a place I got to be Loving you is loving me How beautiful love can be On the streets love is hard to see Gotta reach that frequency Loving you is loving me (Go) go, go, go, go, go and on the count of three (Go) go, go, go, go, go and on the count of three (Go) go, go, go, go, go, go And on the count of three everybody run back to your fantasy, now ",FALSE,Nonmisogynistic
65,Immortal Technique,"Step into the club smoothly with a L in my hand Bitches know that I'm a freak like the Elephant Man Intelligent plans, fuck a record deal! I want development land, with my benevolent clan And that's the reason that I only trust my fam 40,000 records sold, 400 grand Fuck a middleman! I won't pay anyone else I'll bootleg it and sell it to the streets myself I'd rather be that than signed and stuck on a shelf And because of this, executives try to diss me Racism frozen in time, like Walt Disney And now they say they wanna get me signed to the majors If I switch up my politics and change my behavior Try to tell me what to rhyme about over the beat Bitch niggas that never spent a day in the street But I repeat that nobody can hold my reins I put the truth on tracks, nigga, simple and plain",TRUE,Misogynistic
95,Immortal Technique,"I blame it on the goverment, say it one the radio And if you don‰€™t already know I have a devil in my infrared scope Buck buck buck! Cause I don‰€™t give a motherfuck! I blame it on the goverment Every president we ever had lied! And my hand‰€™s on the 16-shot Semi-automatic crooked cop killing Glock!",FALSE,Nonmisogynistic
47,Lupe Fiasco,"And so they kick, push, kick, push Kick, push, kick, push; coast And away they rolled Just rebels without a cause with no place to go And so they kick, push, kick, push Kick, push, kick, push; coast So come roll with me Just a rebel looking for a place to be So let's kick, uh, uh And push, yeah, yeah And coast Ah ha, Swanky Astaghfirullah, yeah! Yeah, this one right here, ha I dedicate this one right here To everybody out there‰€_ Ya dig? Check it out ",FALSE,Nonmisogynistic
55,Isaiah Rashad,"A bunch of bustas I'm on everybody's asses, and this the notice And I ain't even tryin', ho, did you notice? And this the standard, uh fuckin' bogus, uh You fuckin' rappers, uh, it's just me and my nigga Mike D Two dopeboys in a busted-ass rental In Houston, OPM on them pussy ass niggas Two dopeboys in a busted-ass rental In Houston, OPM on them pussy ass niggas ",FALSE,Misogynistic
182,Jay-z,"Legacy, Legacy, Legacy, Legacy Black excellence baby, you gon' let 'em see Legacy, Legacy, Legacy, Legacy Black excellency, baby, let 'em see ",FALSE,Nonmisogynistic
92,Childish Gambino,"You ain't that fine bitch what the fuck you heard? I love these shitty ass chicks I guess I'll never learn I hate it when you think you really getting something good And you don't listen to your dudes when you really should I got so many fucking girls I can't even count 'em There's probably six or seven girls who think this song's about them Never kiss in public but at home I am affectionate Fucking bitches left and right my dick is ambidextrous I know you probably texting this lyric to your friends Saying ""This nigga think he all that. He fucking sucked in bed"", well uhh‰€_ I think we both know that I worked that ass I hope your dude can keep it stretched, yoga class I'm trying hard not to use a specific reference But you'll probably know that it's you after the first sentence So let me quit while I'm ahead like a penis tip If I never was in love with you I hope you know I'm meaning it ",TRUE,Misogynistic
138,Ice Cube,What you see muthafucka V.I.P muthafucka What you see muthafucka This is my cousin BR He's just like my right arm He might fuck you with charm But don't be alarmed This is my nigga Big Hurk He's just like an expert In the business of hurt See my nigga do work That's my son Doughboy And if you get him annoyed He might drop 'yo ass off And pull out his Droid Oh My Goodness OMG is his brother Cause of his ass I got to move from daughters to mothers Like Jinx always up in the pink Smell his finger and I bet that muthafucka will stink See my homie Deion ain't fuckin' with no peon And that nigga Kobe you know he's going for 40,FALSE,Nonmisogynistic
63,Childish Gambino,"He slangs, his yay, through the corridors Every day, 20K, yep, at the very least for sure And they say there's no way I should stay with someone like you, but I tell them no There's no way I could stray Gotta stay with someone like you Cause I know one day You could take me away, far away I know you could pay All the money you made, there'll be plenty of sunshine",FALSE,Nonmisogynistic
94,Kendrick Lamar,"(Just ridin‰€™, just ridin‰€™) Me and the homies (Bullshittin‰€™, actin‰€™ a fool) Me and the homies (Trippin‰€™, really trippin‰€™) Me and the homies (Just ridin‰€™, just ridin‰€™, just ridin‰€™) ",FALSE,Nonmisogynistic
82,Talib Kweli,Sometimes it's hard to believe In what you don't see or understand But the picture is so much bigger Than what we could even imagine It's hard to feel better When the weight of the world make you feel sadder Put your faith into action Heads up and eyes open ,FALSE,Nonmisogynistic
